"Time","CPUPercent","AvailableMemoryMB"
"2026-07-13T09:52:31.2289946-07:00","18.74","5863"
"2026-07-13T09:52:36.2297924-07:00","18.37","5839"
"2026-07-13T09:52:41.2333705-07:00","14.01","5902"
"2026-07-13T09:52:46.2496994-07:00","18.31","5899"
"2026-07-13T09:52:51.2570965-07:00","16.84","5923"
"2026-07-13T09:52:56.2599631-07:00","17.94","5919"
"2026-07-13T09:53:01.2738979-07:00","15.1","5946"
"2026-07-13T09:53:06.2845401-07:00","19.15","5889"
"2026-07-13T09:53:11.3014216-07:00","16.56","5930"
"2026-07-13T09:53:16.3094243-07:00","15.17","5903"
"2026-07-13T09:53:21.3172503-07:00","23.05","5844"
"2026-07-13T09:53:26.3218113-07:00","14.92","5824"
"2026-07-13T09:53:31.3377581-07:00","17.14","5862"
"2026-07-13T09:53:36.3544834-07:00","19.23","5833"
"2026-07-13T09:53:41.3654730-07:00","17.51","5788"
"2026-07-13T09:53:46.3753733-07:00","16.61","5786"
"2026-07-13T09:53:51.3912666-07:00","16.16","5829"
"2026-07-13T09:53:56.3995055-07:00","15.96","5845"
"2026-07-13T09:54:01.4130477-07:00","16.44","5884"
"2026-07-13T09:54:06.4199436-07:00","17.61","5808"
"2026-07-13T09:54:11.4248775-07:00","16.25","5840"
"2026-07-13T09:54:16.4372672-07:00","16.42","5807"
"2026-07-13T09:54:21.4418489-07:00","18.47","5839"
"2026-07-13T09:54:26.4491321-07:00","15.41","5806"
"2026-07-13T09:54:31.4598960-07:00","16.89","5841"
"2026-07-13T09:54:36.4656727-07:00","20.99","5816"
"2026-07-13T09:54:41.4716344-07:00","14.43","5838"
"2026-07-13T09:54:46.4787202-07:00","16.33","5826"
"2026-07-13T09:54:51.4807103-07:00","15.78","5849"
"2026-07-13T09:54:56.4853612-07:00","17.27","5825"
"2026-07-13T09:55:01.4962402-07:00","17.44","5852"
"2026-07-13T09:55:06.5004904-07:00","21.59","5756"
"2026-07-13T09:55:11.5044555-07:00","16.36","5790"
"2026-07-13T09:55:16.5170616-07:00","14.04","5835"
"2026-07-13T09:55:21.5254928-07:00","17.72","5908"
"2026-07-13T09:55:26.5384764-07:00","13.39","5898"
"2026-07-13T09:55:31.5499601-07:00","15.93","5935"
"2026-07-13T09:55:36.5593213-07:00","20.27","5888"
"2026-07-13T09:55:41.5608478-07:00","17.37","5914"
"2026-07-13T09:55:46.5666042-07:00","17.87","5889"
"2026-07-13T09:55:51.5764954-07:00","13.8","5910"
"2026-07-13T09:55:56.5891411-07:00","15.82","5901"
"2026-07-13T09:56:01.5957523-07:00","16.27","5930"
"2026-07-13T09:56:06.6013529-07:00","18.22","5879"
"2026-07-13T09:56:11.6159953-07:00","16.26","5906"
"2026-07-13T09:56:16.6282617-07:00","14.58","5788"
"2026-07-13T09:56:21.6339697-07:00","17.2","5857"
"2026-07-13T09:56:26.6411475-07:00","13.56","5849"
"2026-07-13T09:56:31.6503095-07:00","18","5914"
"2026-07-13T09:56:36.6646202-07:00","20.35","5902"
"2026-07-13T09:56:41.6663816-07:00","16.36","5935"
"2026-07-13T09:56:46.6761527-07:00","14.58","5907"
"2026-07-13T09:56:51.6856051-07:00","17.5","5920"
"2026-07-13T09:56:56.6958966-07:00","15.25","5921"
"2026-07-13T09:57:01.7100413-07:00","18.67","5926"
"2026-07-13T09:57:06.7178421-07:00","19.19","5876"
"2026-07-13T09:57:11.7276019-07:00","14.93","5899"
"2026-07-13T09:57:16.7449183-07:00","16.62","5874"
"2026-07-13T09:57:21.7534209-07:00","15.22","5894"
"2026-07-13T09:57:26.7666984-07:00","15.03","5891"
